node_id	node class (separated by tab)
1	BID
2	PRO
3	COM
4	VER
5	SEV
6	PRI
7	BID
8	COM
9	VER
10	BID
11	COM
12	VER
13	SEV
14	PRI
15	BID
16	COM
17	VER
18	BID
19	COM
20	VER
21	SEV
22	BID
23	VER
24	BID
25	VER
26	BID
27	COM
28	SEV
29	BID
30	COM
31	VER
32	BID
33	VER
34	PRI
35	BID
36	COM
37	VER
38	BID
39	BID
40	PRO
41	COM
42	VER
43	BID
44	VER
45	BID
46	VER
47	BID
48	SEV
49	BID
50	VER
51	BID
52	VER
53	BID
54	COM
55	VER
56	BID
57	VER
58	BID
59	COM
60	VER
61	BID
62	VER
63	BID
64	VER
65	BID
66	VER
67	BID
68	COM
69	VER
70	BID
71	COM
72	VER
73	BID
74	COM
75	VER
76	BID
77	VER
78	BID
79	BID
80	VER
81	BID
82	VER
83	BID
84	BID
85	VER
86	BID
87	BID
88	VER
89	BID
90	BID
91	VER
92	BID
93	BID
94	BID
95	BID
96	VER
97	BID
98	BID
99	BID
100	BID
101	COM
102	BID
103	BID
104	BID
105	BID
106	COM
107	BID
108	VER
109	BID
110	BID
111	VER
112	BID
113	BID
114	BID
115	BID
116	BID
117	COM
118	BID
119	BID
120	BID
121	VER
122	BID
123	VER
124	BID
125	VER
126	BID
127	VER
128	BID
129	VER
130	BID
131	BID
132	COM
133	BID
134	BID
135	BID
136	BID
137	BID
138	COM
139	BID
140	BID
141	BID
142	VER
143	BID
144	BID
145	COM
146	BID
147	BID
148	BID
149	BID
150	BID
151	VER
152	BID
153	VER
154	BID
155	BID
156	BID
157	BID
158	BID
159	VER
160	BID
161	BID
162	BID
163	BID
164	BID
165	BID
166	COM
167	VER
168	BID
169	VER
170	BID
171	VER
172	BID
173	VER
174	BID
175	VER
176	BID
177	VER
178	BID
179	BID
180	BID
181	VER
182	BID
183	VER
184	BID
185	VER
186	BID
187	BID
188	BID
189	BID
190	VER
191	BID
192	BID
193	COM
194	BID
195	VER
196	BID
197	BID
198	BID
199	BID
200	BID
201	VER
202	BID
203	COM
204	VER
205	BID
206	BID
207	BID
208	VER
209	BID
210	BID
211	BID
212	VER
213	BID
214	BID
215	BID
216	BID
217	BID
218	BID
219	VER
220	PRI
221	BID
222	BID
223	BID
224	BID
225	VER
226	BID
227	BID
228	BID
229	VER
230	BID
231	VER
232	BID
233	COM
234	VER
235	BID
236	BID
237	BID
238	BID
239	BID
240	COM
241	BID
242	BID
243	BID
244	VER
245	BID
246	BID
