node_id	node class (separated by tab)
1	BID
2	PRO
3	COM
4	VER
5	SEV
6	PRI
7	BID
8	PRO
9	COM
10	VER
11	SEV
12	PRI
13	BID
14	PRO
15	COM
16	VER
17	BID
18	PRO
19	COM
20	VER
21	SEV
22	BID
23	COM
24	VER
25	BID
26	COM
27	BID
28	VER
29	BID
30	VER
31	BID
32	VER
33	BID
34	VER
35	BID
36	VER
37	BID
38	COM
39	VER
40	BID
41	COM
42	VER
43	BID
44	COM
45	VER
46	BID
47	PRO
48	COM
49	VER
50	BID
51	PRO
52	COM
53	VER
54	BID
55	VER
56	BID
57	PRO
58	VER
59	BID
60	COM
61	VER
62	BID
63	COM
64	VER
65	BID
66	COM
67	VER
68	BID
69	VER
70	BID
71	PRO
72	VER
73	BID
74	VER
75	BID
76	COM
77	VER
78	SEV
79	BID
80	COM
81	VER
82	BID
83	PRO
84	COM
85	VER
86	BID
87	VER
88	BID
89	COM
90	VER
91	BID
92	COM
93	VER
94	BID
95	COM
96	VER
97	BID
98	PRO
99	COM
100	VER
101	BID
102	VER
103	BID
104	COM
105	VER
106	BID
107	VER
108	BID
109	VER
110	BID
111	VER
112	BID
113	VER
114	BID
115	VER
116	BID
117	COM
118	VER
119	BID
120	VER
121	BID
122	VER
123	BID
124	VER
125	BID
126	VER
127	BID
128	COM
129	VER
130	BID
131	BID
132	VER
133	BID
134	VER
135	BID
136	VER
137	BID
138	COM
139	VER
140	BID
141	VER
142	BID
143	VER
144	BID
145	COM
146	VER
147	BID
148	VER
149	BID
150	VER
151	BID
152	VER
153	BID
154	VER
155	BID
156	VER
157	BID
158	BID
159	VER
160	BID
161	VER
162	BID
163	VER
164	BID
165	VER
166	BID
167	COM
168	BID
169	PRO
170	COM
171	VER
172	BID
173	BID
174	BID
175	VER
176	BID
177	COM
178	BID
179	COM
180	BID
181	VER
182	BID
183	COM
184	VER
185	BID
186	VER
187	BID
188	COM
189	VER
190	SEV
191	BID
192	VER
193	BID
194	VER
195	BID
196	VER
197	BID
198	VER
199	BID
200	VER
201	BID
202	COM
203	VER
204	BID
205	VER
206	BID
207	COM
208	VER
209	BID
210	VER
211	BID
212	VER
213	BID
214	COM
215	VER
216	BID
217	VER
218	BID
219	VER
220	BID
221	COM
222	VER
223	BID
224	COM
225	VER
226	BID
227	VER
228	BID
229	VER
230	BID
231	VER
232	BID
233	COM
234	BID
235	COM
236	VER
237	BID
238	COM
239	VER
240	BID
241	VER
242	BID
243	VER
244	BID
245	VER
