node_id	node class (separated by tab)
1	BID
2	PRO
3	COM
4	VER
5	SEV
6	PRI
7	BID
8	VER
9	BID
10	PRO
11	COM
12	BID
13	COM
14	VER
15	SEV
16	BID
17	BID
18	BID
19	PRO
20	COM
21	BID
22	COM
23	BID
24	COM
25	VER
26	BID
27	COM
28	VER
29	BID
30	BID
31	COM
32	BID
33	COM
34	BID
35	PRO
36	COM
37	BID
38	COM
39	BID
40	PRO
41	COM
42	BID
43	BID
44	BID
45	COM
46	BID
47	PRO
48	COM
49	BID
50	PRO
51	VER
52	BID
53	BID
54	PRO
55	COM
56	BID
57	BID
58	BID
59	BID
60	VER
61	BID
62	PRO
63	COM
64	BID
65	BID
66	BID
67	BID
68	BID
69	BID
70	BID
71	BID
72	BID
73	BID
74	PRO
75	COM
76	BID
77	COM
78	BID
79	BID
80	VER
81	SEV
82	BID
83	BID
84	BID
85	COM
86	BID
87	BID
88	COM
89	BID
90	BID
91	BID
92	BID
93	BID
94	VER
95	BID
96	COM
97	BID
98	VER
99	BID
100	COM
101	BID
102	BID
103	COM
104	BID
105	PRO
106	COM
107	BID
108	COM
109	BID
110	BID
111	BID
112	BID
113	VER
114	BID
115	BID
116	BID
117	COM
118	BID
119	COM
120	BID
121	BID
122	COM
123	BID
124	BID
125	BID
126	BID
127	COM
128	BID
129	COM
130	BID
131	BID
132	COM
133	BID
134	BID
135	BID
136	BID
137	BID
138	BID
139	BID
140	BID
141	BID
142	BID
143	BID
144	BID
145	BID
146	BID
147	BID
148	COM
149	BID
150	PRO
151	COM
152	BID
153	BID
154	BID
155	BID
156	BID
157	PRO
158	COM
159	BID
160	BID
161	BID
162	BID
163	COM
164	BID
165	BID
166	BID
167	COM
168	BID
169	BID
170	COM
171	BID
172	BID
173	BID
174	BID
175	BID
176	BID
177	BID
178	BID
179	COM
180	BID
181	BID
182	BID
183	VER
184	BID
185	VER
186	BID
187	BID
188	BID
189	BID
190	BID
191	BID
192	BID
193	BID
194	BID
195	COM
196	BID
197	COM
198	BID
199	COM
200	BID
201	BID
202	BID
203	BID
204	COM
205	BID
206	COM
207	BID
208	BID
209	BID
210	BID
211	BID
212	VER
213	BID
214	BID
215	COM
216	BID
217	BID
218	BID
219	BID
220	BID
221	PRO
222	COM
223	BID
224	BID
225	BID
226	BID
227	BID
228	BID
229	BID
230	BID
231	VER
232	BID
233	BID
234	BID
235	BID
236	COM
237	BID
238	BID
239	VER
240	BID
241	COM
242	BID
243	BID
244	BID
245	BID
