node_id	node class (separated by tab)
1	BID
2	PRO
3	COM
4	VER
5	SEV
6	PRI
7	BID
8	VER
9	BID
10	PRO
11	COM
12	VER
13	PRI
14	BID
15	PRO
16	COM
17	VER
18	BID
19	PRO
20	VER
21	BID
22	COM
23	VER
24	BID
25	PRO
26	COM
27	VER
28	BID
29	PRO
30	VER
31	BID
32	PRO
33	VER
34	PRI
35	BID
36	PRO
37	COM
38	VER
39	SEV
40	BID
41	PRO
42	VER
43	BID
44	VER
45	BID
46	PRO
47	COM
48	BID
49	PRO
50	COM
51	VER
52	BID
53	VER
54	PRI
55	BID
56	BID
57	VER
58	BID
59	VER
60	BID
61	VER
62	BID
63	PRO
64	COM
65	BID
66	VER
67	BID
68	COM
69	VER
70	BID
71	VER
72	BID
73	VER
74	BID
75	COM
76	VER
77	BID
78	BID
79	BID
80	VER
81	BID
82	PRO
83	BID
84	BID
85	VER
86	BID
87	VER
88	BID
89	VER
90	BID
91	PRO
92	COM
93	BID
94	BID
95	BID
96	VER
97	BID
98	COM
99	BID
100	BID
101	BID
102	VER
103	BID
104	VER
105	BID
106	VER
107	BID
108	PRO
109	COM
110	VER
111	SEV
112	BID
113	VER
114	BID
115	COM
116	BID
117	VER
118	BID
119	BID
120	VER
121	BID
122	COM
123	VER
124	BID
125	VER
126	BID
127	BID
128	BID
129	BID
130	PRO
131	VER
132	BID
133	VER
134	BID
135	COM
136	VER
137	BID
138	VER
139	BID
140	VER
141	BID
142	BID
143	VER
144	BID
145	PRO
146	COM
147	VER
148	BID
149	BID
150	BID
151	PRO
152	VER
153	BID
154	VER
155	BID
156	BID
157	BID
158	VER
159	BID
160	PRO
161	VER
162	BID
163	BID
164	VER
165	BID
166	BID
167	BID
168	PRO
169	BID
170	VER
171	BID
172	BID
173	BID
174	BID
175	VER
176	BID
177	VER
178	BID
179	BID
180	VER
181	BID
182	BID
183	VER
184	BID
185	PRI
186	BID
187	BID
188	PRO
189	VER
190	BID
191	BID
192	VER
193	BID
194	VER
195	BID
196	BID
197	BID
198	VER
199	BID
200	BID
201	BID
202	VER
203	BID
204	VER
205	BID
206	PRO
207	BID
208	BID
209	BID
210	BID
211	COM
212	BID
213	VER
214	BID
215	BID
216	BID
217	VER
218	BID
219	BID
220	VER
221	BID
222	BID
223	VER
224	SEV
225	BID
226	VER
227	BID
228	VER
229	BID
230	BID
231	BID
232	VER
233	BID
234	BID
235	BID
236	VER
237	BID
238	VER
239	BID
240	BID
241	VER
242	BID
